num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
348,G,0.4,4,4,3,60,8,5,21.34526286,11.63325841,85.38618944,78.65473714,2.806032132,0.03594263,95.24410954,0.085639924,113.7240776,49.44443702,93.0499787
349,G,0.2,3,3,4,60,8,5,11.84373982,12.29236072,167.0734093,88.15626018,1.540868619,0.028066274,40.16470302,0.090457387,53.77056653,24.62497895,49.07253609
350,G,0.3,3,3,4,60,8,5,17.77579663,12.67888689,111.7642214,82.22420337,2.532593863,0.02796671,65.76313151,0.118501939,89.97505805,40.73332883,80.80971317
351,G,0.4,3,3,4,60,8,5,23.72321401,12.75053609,84.54778846,76.27678599,3.619136124,0.027948113,93.90975186,0.151607901,130.2582538,58.15860025,118.2446968
352,G,0.2,4,3,4,60,8,5,10.76788363,11.26165089,168.0379517,89.23211637,1.090063937,0.029020617,29.45419996,0.082814187,36.96351924,18.63308175,38.74253582
353,G,0.3,4,3,4,60,8,5,16.18171408,11.52234139,112.8393237,83.81828592,1.809741097,0.028956326,48.78397018,0.114669561,64.60183231,31.15844585,64.41124356
354,G,0.4,4,3,4,60,8,5,21.55961794,11.59456845,85.56107344,78.44038206,2.603237394,0.029165118,70.71725123,0.138875246,96.54233667,44.75420523,89.49091947
355,G,0.2,3,4,4,60,8,5,10.74351689,11.37492834,167.3788575,89.25648311,1.687252833,0.026521046,41.37320362,0.076490328,52.10015202,22.49988231,41.62744807
356,G,0.3,3,4,4,60,8,5,16.10608633,11.5892384,112.811488,83.89391367,2.728238055,0.026658913,67.27538375,0.112198435,88.42283797,38.2310564,71.20288455
357,G,0.4,3,4,4,60,8,5,21.50299918,11.6555088,85.54677488,78.49700082,3.843051933,0.026708102,94.95451939,0.144054174,128.6693982,54.68272517,103.8738567
358,G,0.2,4,4,4,60,8,5,9.598787208,10.00598981,165.5507398,90.40121279,1.160285586,0.030275488,32.80764163,0.080405891,40.32215323,17.70018904,36.27830248
359,G,0.3,4,4,4,60,8,5,14.41850425,10.12077951,111.9091243,85.58149575,1.89862333,0.030056217,53.268189,0.109744847,67.4381563,29.65814008,59.05657951
360,G,0.4,4,4,4,60,8,5,19.25251589,10.36096968,85.35155055,80.74748411,2.697585305,0.030049652,75.66632958,0.123806603,97.39507371,41.98554382,80.70619509
361,G,0.2,3,3,3,0,10,5,12.96151802,16.69056865,162.8428759,87.03848198,1.510164414,0.034869056,49.63767902,0.132088494,61.13762685,27.4115116,53.44265191
362,G,0.3,3,3,3,0,10,5,19.42240267,16.8416202,109.3262612,80.57759733,2.462278599,0.033957309,78.68779835,0.18161366,100.5621335,44.59054688,86.34523906
363,G,0.4,3,3,3,0,10,5,25.92565778,16.87492801,82.2528602,74.07434222,3.507997848,0.033419709,110.220273,0.193069267,144.4565529,63.07143247,122.3989666
364,G,0.2,4,3,3,0,10,5,11.8298096,15.67505014,167.7123845,88.1701904,1.673153106,0.023207706,35.4837392,0.144951916,48.25517744,21.21648991,40.93301876
365,G,0.3,4,3,3,0,10,5,17.72422239,15.68833466,113.035648,82.27577761,2.74303806,0.023033839,57.69662037,0.176487458,79.52850431,35.03220276,66.91565783
366,G,0.4,4,3,3,0,10,5,23.6992692,15.99007032,84.98095987,76.3007308,3.940488065,0.022931447,82.48011733,0.163857687,114.093872,50.16409564,94.60860679
367,G,0.2,3,4,3,0,10,5,11.7821118,15.65417897,167.9693047,88.2178882,1.431743947,0.026076157,34.47089267,0.149140692,45.75169633,21.50765537,44.14187798
