num,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
943,0.2,3,4,3,0,10,10,14.17491536,74.64970603,169.4950333,85.82508464,2.604465745,0.024484062,58.5589684,0.156690228,85.51062696,37.5620873,76.02175498
944,0.3,3,4,3,0,10,10,21.22990791,75.62383103,113.002739,78.77009209,4.12172849,0.024092076,91.05753709,0.18448534,134.2105916,59.56766178,124.0292407
945,0.4,3,4,3,0,10,10,28.35148606,74.72857308,83.96106458,71.64851394,5.699748889,0.023849631,124.5374078,0.188277102,187.8244934,83.44709195,176.234161
946,0.2,4,4,3,0,10,10,12.87125335,69.23651642,170.7546488,87.12874665,2.005041777,0.024246389,44.60493852,0.170385885,63.60693979,28.67423079,59.83209686
947,0.3,4,4,3,0,10,10,19.24269264,69.89312371,114.123624,80.75730736,3.148275888,0.023797808,68.62551349,0.199415922,101.2952462,45.750595,96.97446265
948,0.4,4,4,3,0,10,10,25.7464894,68.91892732,85.05999264,74.2535106,4.371784962,0.023537995,94.15948347,0.199410915,141.7448806,64.46320313,137.7000735
949,0.2,3,3,4,0,10,10,14.03301022,75.16024655,170.1366374,85.96698978,4.294489253,0.027722271,110.4640156,0.194044089,120.8463998,41.57128287,83.89639274
950,0.3,3,3,4,0,10,10,21.04000604,74.83640544,112.8557016,78.95999396,5.388765768,0.02354568,116.1046211,0.179456902,195.7076215,68.08648283,133.24151
951,0.4,3,3,4,0,10,10,28.05731508,74.10860608,83.94945259,71.94268492,7.125877563,0.038050635,256.8924104,0.096016103,276.3553568,89.83948153,189.4794145
952,0.2,4,3,4,0,10,10,12.72592656,68.25268859,171.3128116,87.27407344,3.03378835,0.024423243,68.02737408,0.199657452,87.96491637,39.84053359,83.06975182
953,0.3,4,3,4,0,10,10,19.16819435,67.7573962,113.1222428,80.83180565,4.823859141,0.024174275,106.9655802,0.106157541,138.777676,63.49563068,128.4249534
954,0.4,4,3,4,0,10,10,25.55825925,67.97084248,84.53896633,74.44174075,6.68962096,0.024170451,148.3119162,0.125096703,194.0707982,86.6467631,173.7693275
955,0.2,3,4,4,0,10,10,12.77055116,68.02735561,170.729799,87.22944884,3.040235619,0.024422703,68.17029942,0.089722019,87.02144943,39.82643284,84.42865833
956,0.3,3,4,4,0,10,10,19.12080204,68.51978063,113.570521,80.87919796,4.831729679,0.024181011,107.1726484,0.104896748,139.0789371,63.65044589,127.9834052
957,0.4,3,4,4,0,10,10,25.54505236,68.15607195,84.88846483,74.45494764,6.704806752,0.024075091,148.0092196,0.131425643,194.7991047,87.60712654,174.3896086
958,0.2,4,4,4,0,10,10,11.5871358,61.01588972,167.9228784,88.4128642,2.413994252,0.023926245,52.92983027,0.092047274,67.54342829,31.20081899,65.38943892
959,0.3,4,4,4,0,10,10,17.401925,61.86502626,112.2243654,82.598075,3.807220043,0.023690072,82.57887625,0.112225294,107.2838735,49.88275775,101.975811
960,0.4,4,4,4,0,10,10,23.20604187,61.64731172,83.86262511,76.79395813,5.285484103,0.023598456,114.1582946,0.131132698,149.3572846,68.70975721,139.5317342
