num,Code,Thickness (mm),xCell,yCell,zCell,Angle (°),Height (mm),Radius (mm),RD,SA (cm^2),SA/VR (1/cm),Porosity,Elastic Modulus (GPa),Yield Strain (-),Yield Stress (MPa),Ultimate Strain (-),Ultimate Stress (MPa),Energy Absorption (MJ/m^3),Plateau Stress (MPa)
880,D,0.2,4,3,4,0,8,10,12.75387368,54.73080289,171.0525023,87.24612632,1.864163709,0.041199334,73.07397608,0.102124184,86.58780195,40.01043425,84.48809239
881,D,0.3,4,3,4,0,8,10,19.12824815,54.95194248,113.2835093,80.87175185,3.105968166,0.038709685,114.0191139,0.117437795,139.089197,63.44682201,128.996533
882,D,0.4,4,3,4,0,8,10,25.51712865,54.65747712,84.82059238,74.48287135,4.405046138,0.037658387,157.076842,0.137843966,195.617853,86.98472726,173.3490306
883,D,0.2,3,4,4,0,8,10,12.73280411,54.70459539,170.7366075,87.26719589,1.862094176,0.041350825,73.27494295,0.097012922,86.57935574,39.99803563,84.27131125
884,D,0.3,3,4,4,0,8,10,19.14579375,55.40087928,113.1896553,80.85420625,3.102534416,0.03881348,114.2150898,0.118706547,139.4643687,63.40849281,128.6931118
885,D,0.4,3,4,4,0,8,10,25.55261628,54.78115643,85.16661822,74.44738372,4.40264968,0.037703991,157.1921636,0.135310382,195.7307058,86.78077769,172.0174148
886,D,0.2,4,4,4,0,8,10,11.59927597,48.90739559,166.9736779,88.40072403,2.047259985,0.027055162,51.29443081,0.106827259,67.86828294,31.8005405,66.8522832
887,D,0.3,4,4,4,0,8,10,17.40544588,49.53840694,111.2003253,82.59455412,3.274512452,0.026886332,81.49060272,0.12973094,108.6155308,50.2152863,101.6387884
888,D,0.4,4,4,4,0,8,10,23.18381415,49.61998362,83.81616205,76.81618585,4.557681982,0.026836208,113.1955364,0.146261781,151.5003789,69.00860868,137.4774929
889,D,0.2,3,3,3,30,8,10,15.48006911,65.24913201,168.1699897,84.51993089,2.198236187,0.036962108,76.85497201,0.177465469,102.5541245,45.27320187,90.09823084
890,D,0.3,3,3,3,30,8,10,23.20781969,65.32003741,111.4670433,76.79218031,3.586063172,0.036462184,123.5835682,0.192822903,170.9304275,72.91838176,144.3219387
891,D,0.4,3,3,3,30,8,10,30.98936924,65.15610962,82.87293941,69.01063076,5.066077529,0.036401429,174.2803054,0.192831695,245.2346313,101.1773967,197.9722515
892,D,0.2,4,3,3,30,8,10,14.08597687,60.39138919,169.5087714,85.91402313,1.813431549,0.03741019,64.21395489,0.176307589,84.33049699,37.85947096,76.21702981
893,D,0.3,4,3,3,30,8,10,21.10596735,60.17226489,112.7625832,78.89403265,2.945816051,0.036616414,101.9735883,0.198012173,141.1269478,60.74323766,122.6482257
894,D,0.4,4,3,3,30,8,10,28.13982612,60.15337297,84.24082875,71.86017388,4.151473769,0.036524245,143.3264955,0.199265927,202.4021877,84.14653761,166.2364687
895,D,0.2,3,4,3,30,8,10,14.05445742,60.32562992,170.6111427,85.94554258,2.053144947,0.030656914,58.8367988,0.165777415,83.68488376,37.20565953,75.29948472
896,D,0.3,3,4,3,30,8,10,21.12107479,60.4717411,113.4186571,78.87892521,3.22669514,0.031940558,96.60905324,0.168397546,138.4695658,60.54289782,122.3522187
897,D,0.4,3,4,3,30,8,10,28.12994039,60.71839511,84.73808909,71.87005961,4.719852927,0.031197269,137.8068154,0.158169463,197.8520874,86.61291098,174.3314446
898,D,0.2,4,4,3,30,8,10,12.77458163,55.209409,172.0233157,87.22541837,1.555401149,0.033926173,49.65800602,0.137764692,65.96076955,30.73333905,62.66647802
899,D,0.3,4,4,3,30,8,10,19.1390874,55.30797173,114.3283164,80.8609126,2.539878843,0.03321722,79.28795683,0.164546654,109.2683483,49.61465982,99.20589384
900,D,0.4,4,4,3,30,8,10,25.56734346,54.91535142,86.00460049,74.43265654,3.596378023,0.03309475,111.8284755,0.17985487,157.3885677,69.71537285,138.3239374
901,D,0.2,3,3,4,30,8,10,14.0730636,60.20232112,170.8271883,85.9269364,1.806205447,0.045872151,79.24211886,0.120382696,91.42485276,39.52846303,75.70113098
